List view Service Provider,SPLIV,Y
Mark attendance,MKATT,Y
Dashboard & Reports - View,DSHRP,Y
Assign tickets,ASSTK,Y
Close tickets,CLTCK,Y
Create tickets,CRTCK,Y
Reassign tickets,REATK,Y
Reopen ticket,REOTK,Y
Create work order,CRWKO,Y
Execute work order,EXCWO,Y
List view work order,LVIWO,Y
List view work permit,LVIWP,Y
Reassign work order,REAWO,Y
Reschedule work order,RSCWO,Y
View work order,VIWKO,Y
Approve work permit,APWPR,N
Approve LOTO,APLOT,N
Acknowledge work order,ACWKO,N
Approve work order,APWKO,N
View Item,VIITM,Y
View stock,VISTK,Y
View reports and dashboards,VIRDB,Y
Print reports and dashboards,PRADB,Y
List view of my approvals related to WO,MAPWO,Y
List view of my approvals related to Ticketing,MAPTK,Y
List view of my approvals related to Inventory,MAPIN,Y
List view of my request related to WO,MRQWO,Y
list view of my request related to ticketing,MRQTK,Y
List view of my request related to Inventory,MRQIN,Y
List view of my team WO,MYTWO,Y
List view of my team Ticketing,MYTTK,Y
List view of my team Pending approvals,MYTPA,Y
List view of my team store transaction,MYTST,Y
List view of my team attendance,MYTAT,Y
Create site,CREST,N
My Work Order,MYWKO,Y
My store task,MYSRT,Y
My Pending Approvals,MYPAP,Y
Approve Reassign,APREA,Y
Approve Reshcedule,APRES,Y
Approve the ticket,APTCK,Y
Approve the Inventory,APINV,Y
Create Asset Category,CRASC,N
Edit Asset Category,EDASC,N
Delete Asset Category,DEASC,N
List View Asset Category,LVASC,Y
